kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_sma,koi_incl,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,koi_smet,koi_kepmag,koi_srho
K06029.01,FALSE POSITIVE,3.026764871,4.32532,66719.9,0.198,1561.2,26.36,1360.0,810.38,0.0419,88.27,0.239029,6283.0,4.459,1.01,1.067,-0.24,14.044,0.58818
K06030.01,FALSE POSITIVE,3.840130917,2.8951,60401.0,0.872,275.6,33.44,1205.0,498.48,0.0477,84.92,0.302603,5931.0,4.418,1.012,0.981,-0.12,14.479,1.22902
K06031.01,FALSE POSITIVE,5.554227226,4.77434,142313.0,0.174,1517.7,31.71,930.0,176.7,0.056,89.16,0.344438,5433.0,4.465,0.843,0.756,-0.34,12.376,1.0267
K06032.01,FALSE POSITIVE,1.570919281,3.2232,65124.0,1.083,316.9,59.12,1797.0,2473.29,0.0268,73.78,0.465884,6192.0,4.326,1.162,1.04,-0.12,13.406,0.44687
K06033.01,FALSE POSITIVE,35.08976902,3.9623,5754.6,1.264,170.8,33.1,501.0,14.95,0.2055,87.85,0.358269,5603.0,4.556,0.846,0.941,-0.04,14.266,0.58855
K06034.01,FALSE POSITIVE,5.233450136,8.57374,430422.0,0.457,3921.8,70.33,1050.0,287.6,0.0588,86.51,0.659199,5841.0,4.454,0.977,0.992,-0.02,13.424,0.29245
K06035.01,FALSE POSITIVE,3.6037011,2.994,16112.0,1.225,33.4,66.94,1464.0,1089.0,0.0445,78.78,0.396281,5633.0,4.016,1.547,0.907,-0.26,14.492,0.36351
K06036.01,FALSE POSITIVE,3.518356021,6.90375,316750.0,0.593,3217.6,64.49,1266.0,606.41,0.0462,84.2,0.597138,6201.0,4.472,0.989,1.058,-0.2,15.168,0.30865
K06037.01,FALSE POSITIVE,32.669962587,3.581,365.4,0.18,6.2,1.37,428.0,7.96,0.1864,89.85,0.016935,4871.0,4.606,0.741,0.822,0.14,15.536,6.01651
K06038.01,FALSE POSITIVE,19.93364711,8.6122,174830.0,0.852,1863.4,75.88,848.0,122.24,0.1477,87.85,0.538664,6505.0,4.25,1.29,1.078,-0.34,14.575,0.55585
K06039.01,FALSE POSITIVE,1.071911311,3.8559,9817.8,1.272,397.6,40.32,1809.0,2534.86,0.0192,44.95,0.395786,5885.0,4.413,0.933,0.821,-0.52,15.083,0.09547
K06040.01,FALSE POSITIVE,18.019651402,5.08572,176998.0,0.675,3373.3,31.77,544.0,20.7,0.1207,88.88,0.441434,5278.0,4.658,0.659,0.723,-0.62,14.928,2.38972
K06041.01,FALSE POSITIVE,4.032762189,4.14212,119350.0,0.599,1520.0,35.22,1173.0,447.97,0.0483,86.15,0.33531,5960.0,4.438,0.962,0.927,-0.3,13.861,0.82668
K06042.01,FALSE POSITIVE,2.371589507,3.5116,235104.0,1.653,386.0,88.22,1043.0,278.9,0.0307,79.15,1.344266,5340.0,4.715,0.601,0.685,-1.0,14.528,2.28086
K06043.01,FALSE POSITIVE,5.09112124,2.159,115.1,0.224,11.4,3.58,2044.0,4131.88,0.0689,89.28,0.009969,6705.0,3.629,3.293,1.682,-0.12,11.585,4.08264
K06044.01,FALSE POSITIVE,2.027383251,1.5528,3856.2,1.248,126.1,31.12,1352.0,791.38,0.0286,74.41,0.325674,5544.0,4.435,0.875,0.761,-0.4,15.476,0.46033
K06045.01,FALSE POSITIVE,10.73370737,7.6706,6155.3,0.895,239.5,18.7,1171.0,444.77,0.1013,82.25,0.085487,5971.0,3.914,2.003,1.202,-0.02,13.602,0.04794
K06046.01,FALSE POSITIVE,9.449438672,5.5479,12867.3,1.243,231.4,60.59,1152.0,415.72,0.0903,81.21,0.387727,6558.0,4.167,1.431,1.096,-0.38,13.099,0.11386
K06047.01,FALSE POSITIVE,8.752913958,3.4546,41770.0,1.124,326.1,119.91,1635.0,1689.12,0.1012,86.16,0.418487,7279.0,3.856,2.624,1.8,-0.04,11.961,1.1673
K06048.01,FALSE POSITIVE,1.985586627,2.53163,72584.2,0.804,1594.1,105.22,2796.0,14480.75,0.0354,82.54,0.299344,6651.0,3.6,3.219,1.503,-0.48,11.427,1.14048
K06048.02,FALSE POSITIVE,0.80489537,0.92,,,,,,,,,,,,,,,11.427,
K06049.01,FALSE POSITIVE,16.579028045,7.803,37979.8,0.745,813.6,49.01,1062.0,300.36,0.1368,87.19,0.195145,5870.0,3.808,2.3,1.239,-0.14,12.887,0.24186
K06050.01,FALSE POSITIVE,2.064900876,6.8769,10939.4,1.253,364.0,38.19,1357.0,800.75,0.0311,48.5,0.388171,5714.0,4.501,0.901,0.939,-0.08,14.597,0.02999
K06051.01,FALSE POSITIVE,3.60727417,14.0841,841897.0,0.463,710.9,221.55,1833.0,2671.63,0.051,83.8,1.136618,7026.0,4.068,1.785,1.36,-0.36,15.076,0.11474
K06052.01,FALSE POSITIVE,2.565717939,1.7084,1941.7,1.313,45.8,180.8,4607.0,106664.85,0.0557,70.33,0.351374,11360.0,3.636,4.712,3.504,0.21,10.846,0.17055
K06053.01,FALSE POSITIVE,22.05274533,5.5924,13857.7,1.247,343.5,32.56,552.0,21.93,0.1437,86.31,0.402406,5510.0,4.608,0.741,0.822,-0.4,15.44,0.28219
K06054.01,FALSE POSITIVE,2.881338104,3.5943,2533.7,1.271,111.3,31.58,1206.0,501.88,0.0393,62.0,0.328641,5783.0,4.539,0.88,0.977,-0.08,15.139,0.04516
K06055.01,FALSE POSITIVE,4.078355243,6.4649,36133.0,0.368,310.0,16.73,1113.0,362.07,0.047,86.12,0.176679,5872.0,4.481,0.867,0.83,-0.52,14.936,0.18285
K06056.01,FALSE POSITIVE,7.73590441,4.4389,465.3,1.205,59.5,21.3,884.0,144.83,0.0751,68.62,0.226795,5927.0,4.544,0.86,0.944,-0.3,13.241,0.01141
K06057.01,FALSE POSITIVE,3.530164642,4.11466,69923.0,0.019,731.2,35.71,1465.0,1086.97,0.047,89.86,0.243325,6208.0,4.226,1.344,1.107,-0.04,13.924,0.83079
K06058.01,FALSE POSITIVE,6.496031958,5.21924,108889.0,0.065,1797.6,32.33,957.0,198.07,0.0639,89.7,0.299669,5516.0,4.364,0.988,0.825,-0.14,14.502,0.84758
K06059.01,FALSE POSITIVE,4.012537983,2.0101,19796.0,0.783,166.0,9.96,765.0,80.95,0.0421,86.49,0.144714,4483.0,4.629,0.63,0.616,-0.34,15.381,2.44756
K06060.01,FALSE POSITIVE,1.594162001,5.4958,9876.3,1.128,415.0,26.11,1419.0,960.51,0.0248,49.91,0.270214,5388.0,4.449,0.885,0.802,-0.14,14.585,0.03999
K06061.01,FALSE POSITIVE,10.238939876,3.4851,3153.1,1.022,427.6,22.09,1190.0,474.05,0.0968,84.05,0.11196,6244.0,3.986,1.807,1.152,-0.2,13.897,0.17355
K06062.01,FALSE POSITIVE,5.499941387,5.1339,40110.4,0.002,506.4,23.34,1202.0,492.27,0.0646,89.99,0.184697,6435.0,4.385,1.157,1.186,-0.06,15.48,0.57429
K06063.01,FALSE POSITIVE,8.667826242,5.06514,43491.0,0.822,4638.1,37.51,1225.0,531.63,0.0899,86.03,0.223318,6712.0,4.174,1.538,1.294,-0.2,13.089,0.42237
K06064.01,FALSE POSITIVE,265.2996227,8.8452,100158.0,0.798,616.3,33.81,270.0,1.25,0.7968,89.82,0.358753,5873.0,4.547,0.863,0.954,-0.22,15.518,4.29723
K06064.02,FALSE POSITIVE,265.299451,4.563,4946.0,0.88,34.3,7.1,270.0,1.25,0.7968,89.82,0.075359,5873.0,4.547,0.863,0.954,-0.22,15.518,5.56265
K06065.01,FALSE POSITIVE,265.2999623,8.8577,31778.0,0.928,154.7,25.56,296.0,1.81,0.8276,89.71,0.234765,6108.0,4.471,0.997,1.072,-0.08,15.279,1.74186
K06065.02,FALSE POSITIVE,265.310499,4.013,1530.0,0.913,11.6,4.69,296.0,1.81,0.8276,89.79,0.043088,6108.0,4.471,0.997,1.072,-0.08,15.279,4.43507
K06066.01,FALSE POSITIVE,13.787520532,2.55435,12978.3,0.99,2126.1,25.33,921.0,170.01,0.1211,87.86,0.179945,6399.0,4.312,1.289,1.246,0.1,12.14,1.84573
K06067.01,FALSE POSITIVE,8.2904597,2.6002,173007.0,0.426,297.2,23.96,594.0,29.41,0.0661,89.24,0.387641,4601.0,4.681,0.566,0.559,-0.86,17.409,9.168
K06069.01,FALSE POSITIVE,8.214204254,4.5905,74177.0,1.092,613.1,42.29,798.0,96.12,0.0755,85.56,0.500312,5654.0,4.59,0.774,0.865,-0.38,16.356,0.78916
K06070.01,FALSE POSITIVE,15.71377375,7.464,9482.0,0.864,98.1,10.85,728.0,66.24,0.1192,85.53,0.10354,5812.0,4.434,0.96,0.912,-0.2,14.292,0.10438
K06071.01,FALSE POSITIVE,5.918619554,3.94804,94124.0,0.258,1117.0,29.98,1009.0,245.42,0.0658,88.98,0.282768,5957.0,4.498,0.971,1.083,0.07,15.678,1.6165
K06072.01,FALSE POSITIVE,3.319523463,3.3465,38832.0,1.162,249.4,38.37,1108.0,356.42,0.0416,79.9,0.444182,5761.0,4.581,0.791,0.881,-0.4,15.101,0.49846
K06073.01,FALSE POSITIVE,6.474202359,3.35989,203491.0,0.448,1284.0,28.96,717.0,62.47,0.0578,88.71,0.425013,4947.0,4.636,0.624,0.614,-0.76,14.998,3.57384
K06074.01,FALSE POSITIVE,8.4803048,7.5348,2672.9,0.027,70.1,4.13,777.0,86.01,0.0786,89.83,0.046587,5478.0,4.573,0.812,0.906,-0.08,15.736,0.19279
K06075.01,FALSE POSITIVE,8.947426242,4.89701,85995.2,0.517,7878.0,45.87,1141.0,401.11,0.0892,88.19,0.27895,6297.0,4.155,1.506,1.18,-0.06,12.985,1.0331
K06076.01,FALSE POSITIVE,9.93443795,8.098,2750.0,1.264,92.8,35.54,830.0,112.23,0.0936,71.46,0.326094,5763.0,4.484,0.998,1.107,0.36,15.777,0.01203
K06077.01,FALSE POSITIVE,2.173552528,1.6107,3026.0,1.297,35.9,23.51,1025.0,260.75,0.0276,73.25,0.362481,5008.0,4.663,0.594,0.592,-1.04,14.605,0.36473
K06078.01,FALSE POSITIVE,10.157715971,2.9526,9520.1,1.268,168.0,42.27,853.0,125.42,0.0946,85.2,0.392589,5993.0,4.489,0.986,1.093,0.07,15.589,0.63866
K06079.01,FALSE POSITIVE,15.249335907,3.82224,34565.1,1.077,635.5,45.92,875.0,138.77,0.1231,87.53,0.353651,6385.0,4.316,1.189,1.062,-0.2,13.593,1.27573
K06080.01,FALSE POSITIVE,4.816610903,3.82353,80226.0,0.431,759.1,26.15,1050.0,287.3,0.0536,87.85,0.264897,5796.0,4.472,0.904,0.885,-0.28,14.843,1.23109
K06081.01,FALSE POSITIVE,2.305903447,3.3828,23268.7,0.003,511.7,39.04,3147.0,23214.46,0.046,89.98,0.143473,9696.0,4.033,2.492,2.444,0.07,16.321,0.76512
K06082.01,FALSE POSITIVE,1.814128042,3.0646,2063.6,1.246,163.9,426.98,3773.0,47891.79,0.041,54.32,0.30313,4822.0,2.662,12.899,2.785,0.36,11.78,0.05608
K06083.01,FALSE POSITIVE,4.128795314,2.771,154870.0,0.739,1041.8,52.0,1244.0,565.91,0.0482,86.99,0.439667,5949.0,4.311,1.083,0.876,-0.4,13.1,3.11059
