iso3,country,year,region,income,population,gdp_pc_ppp,fertility,life_exp,u5_mort,urban_pct
DJI,Djibouti,2022,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1137096,6180.67998594606,2.653,65.54,52.1,72.6109938538856
DMA,Dominica,2022,Latin America & Caribbean,Upper middle income,66826,17550.8009946466,1.482,71.081,35,72.682648635692
DOM,Dominican Republic,2022,Latin America & Caribbean,Upper middle income,11230734,22986.95808105,2.267,74.211,32.3,72.4203155643711
ECU,Ecuador,2022,Latin America & Caribbean,Upper middle income,17823897,14186.6388544625,1.861,76.577,13.2,63.0901835932266
EGY,"Egypt, Arab Rep.",2022,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,112618250,16360.390775011,2.75,71.01,23.5,42.6325129008032
SLV,El Salvador,2022,Latin America & Caribbean,Upper middle income,6280319,11085.6166169553,1.785,71.969,10.8,74.1465021298679
GNQ,Equatorial Guinea,2022,Sub-Saharan Africa,Upper middle income,1803545,16932.7706827155,4.17,63.355,72.8,70.8910029445467
EST,Estonia,2022,Europe & Central Asia,High income,1348840,43124.6196563775,1.41,77.8439024390244,2.2,70.4892333736738
SWZ,Eswatini,2022,Sub-Saharan Africa,Lower middle income,1218917,9927.60567008139,2.801,63.028,47.3,25.396682918542
ETH,Ethiopia,2022,Sub-Saharan Africa,Low income,125384287,2655.59276743639,4.082,66.897,68.1,22.7367687225342
FJI,Fiji,2022,East Asia & Pacific,Upper middle income,919422,12118.3182710082,2.305,67.148,28.9,58.1352701465266
FIN,Finland,2022,Europe & Central Asia,High income,5556106,57068.3056478074,1.32,81.1878048780488,2.4,73.6967597835949
FRA,France,2022,Europe & Central Asia,High income,68184457,53673.8137406422,1.78,82.1292682926829,4.3,78.7591921123356
GAB,Gabon,2022,Sub-Saharan Africa,Upper middle income,2430747,18662.0497970472,3.712,67.713,34.7,91.2243355459988
GMB,"Gambia, The",2022,Sub-Saharan Africa,Low income,2636470,2863.18049829859,4.078,64.859,45.3,63.2869880996278
GEO,Georgia,2022,Europe & Central Asia,Upper middle income,3712502,20966.5280391134,1.82,74.141,9,60.0101622679115
DEU,Germany,2022,Europe & Central Asia,High income,83177813,63777.9291029299,1.455,80.6080487804878,3.7,81.7867852780995
GHA,Ghana,2022,Sub-Saharan Africa,Lower middle income,33149152,6728.45413832472,3.434,65.246,38.6,57.250609602871
GRC,Greece,2022,Europe & Central Asia,High income,10437805,35828.1756641776,1.32,80.7878048780488,4,78.5502190980809
GRD,Grenada,2022,Latin America & Caribbean,Upper middle income,116913,16376.4273099594,1.502,75.151,18.5,36.3688840183487
GTM,Guatemala,2022,Latin America & Caribbean,Upper middle income,17847877,12144.4800461597,2.343,71.206,21.9,55.2581228215265
GIN,Guinea,2022,Sub-Saharan Africa,Lower middle income,14055137,3792.01068836277,4.303,60.432,97.6,37.2384967469106
GNB,Guinea-Bissau,2022,Sub-Saharan Africa,Low income,2105529,2600.802474483,3.911,63.605,72,45.1627159118652
GUY,Guyana,2022,Latin America & Caribbean,High income,821637,37068.1993827588,2.437,69.888,26.9,26.4536735068183
HTI,Haiti,2022,Latin America & Caribbean,Lower middle income,11503606,3029.77866381702,2.699,63.948,56.2,53.8524949966907
HND,Honduras,2022,Latin America & Caribbean,Lower middle income,10463872,6352.58710177732,2.522,72.715,16,57.8364689017254
HUN,Hungary,2022,Europe & Central Asia,High income,9605074,40610.9711368238,1.57,75.8682926829268,3.9,70.1585064243445
ISL,Iceland,2022,Europe & Central Asia,High income,382003,66581.2441801002,1.589,82.119512195122,2.9,94.1787071228028
IND,India,2022,South Asia,Lower middle income,1425423212,8347.38478647086,1.994,71.698,29.5,34.7555673994206
IDN,Indonesia,2022,East Asia & Pacific,Upper middle income,278830529,13334.2653947637,2.149,70.925,19.1,57.4934704226599
IRN,"Iran, Islamic Rep.",2022,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,89524246,16377.9610645368,1.704,76.799,12.1,76.3342208862305
IRQ,Iraq,2022,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,44070551,13433.3977166956,3.294,72.037,23.3,69.8682861328125
IRL,Ireland,2022,Europe & Central Asia,High income,5212836,123007.47648651,1.51,82.509756097561,3.7,63.8920250215059
ISR,Israel,2022,"Middle East, North Africa, Afghanistan & Pakistan",High income,9557500,48132.3637205177,2.89,82.7,3.4,91.4979834273327
ITA,Italy,2022,Europe & Central Asia,High income,59013667,52333.3274270604,1.24,82.7,2.8,69.4839779766539
JAM,Jamaica,2022,Latin America & Caribbean,Upper middle income,2839144,11096.6377085321,1.372,71.481,18.4,57.9879906034775
JPN,Japan,2022,East Asia & Pacific,High income,125124989,46819.360613609,1.26,83.9963414634146,2.4,91.9776532428406
JOR,Jordan,2022,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,11256263,10158.4738771524,2.679,77.088,13.7,92.4048379066163
KAZ,Kazakhstan,2022,Europe & Central Asia,Upper middle income,20034609,33506.2614893237,3.05,73.503,9.8,61.444157327248
KEN,Kenya,2022,Sub-Saharan Africa,Lower middle income,54252461,5491.69378280246,3.262,63.549,40.5,31.4307820066946
KIR,Kiribati,2022,East Asia & Pacific,Lower middle income,130469,3127.17745381556,3.182,66.269,55.9,60.5739126559419
KOR,"Korea, Rep.",2022,East Asia & Pacific,High income,51672569,53228.6035655365,0.778,82.6804878048781,2.9,81.1624941626873
XKX,Kosovo,2022,Europe & Central Asia,Upper middle income,1768096,13022.4627441502,1.555,77.623,9.5,47.8001996538455
KWT,Kuwait,2022,"Middle East, North Africa, Afghanistan & Pakistan",High income,4589643,51379.8833194119,1.546,80.5878048780488,8.6,100
KGZ,Kyrgyz Republic,2022,Europe & Central Asia,Lower middle income,6975220,6139.77788825006,2.8,72.0487804878049,17.3,34.7003053497743
LAO,Lao PDR,2022,East Asia & Pacific,Lower middle income,7559007,8183.03286472653,2.455,68.715,31.8,38.0682382805397
LVA,Latvia,2022,Europe & Central Asia,High income,1879383,37718.7097958367,1.47,74.2780487804878,3,68.2570218109034
LBN,Lebanon,2022,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5744489,11474.7505845558,2.263,78.003,16.3,90.206313713022
LSO,Lesotho,2022,Sub-Saharan Africa,Lower middle income,2286110,2577.54544127769,2.716,56.812,62,41.6703965165322
LBR,Liberia,2022,Sub-Saharan Africa,Low income,5373294,1578.99837069175,4.016,61.934,87.8,54.4591057083
LBY,Libya,2022,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7223805,11450.0598552928,2.402,74.462,10.4,87.8486088593786
LTU,Lithuania,2022,Europe & Central Asia,High income,2831639,46642.5947251086,1.27,75.6439024390244,3.5,68.2866452426813
LUX,Luxembourg,2022,Europe & Central Asia,High income,653103,132570.832272626,1.31,82.9463414634147,2.3,94.7605400940185
MDG,Madagascar,2022,Sub-Saharan Africa,Low income,30437261,1602.42805197529,4.036,63.068,64.5,31.5397813465886
MWI,Malawi,2022,Sub-Saharan Africa,Low income,20568728,1659.95933825168,3.72,66.037,50.1,16.7146031979436
MYS,Malaysia,2022,East Asia & Pacific,Upper middle income,34695493,32129.2217820113,1.55,75.444,8.2,75.9741357073003
MDV,Maldives,2022,South Asia,Upper middle income,524106,21357.8112511153,1.583,80.76,6,41.0641769690663
MLI,Mali,2022,Sub-Saharan Africa,Low income,23072640,2813.81095962565,5.692,60.035,79.7,30.4015705681899
MLT,Malta,2022,"Middle East, North Africa, Afghanistan & Pakistan",High income,531113,56874.4339327368,1.08,82.2975609756098,5.6,95.6003155132879
